id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
750,Riyad Mahrez,33,1938,11,8.649655694141984,9,11.059849355369806,74,60,0,0,F M S,Manchester City,10,7.888486390933394,27.765530444681644,13.285876329988241,2019/2020
3635,Bernardo Silva,34,2020,6,7.420338202267885,7,6.312828056514263,52,51,5,0,F M S,Manchester City,6,7.420338202267885,23.837779246270657,14.727361917495728,2019/2020
617,David Silva,27,1846,5,6.932368505746126,10,7.650991026312113,46,49,0,0,M S,Manchester City,5,6.932368505746126,24.6870179772377,12.764222756028175,2019/2020
6055,Phil Foden,23,888,5,3.556827375665307,2,1.5590799991041422,34,18,0,0,F M S,Manchester City,5,3.556827375665307,9.372161615639925,5.848771080374718,2019/2020
2496,Rodri,35,2488,3,0.7440792061388493,2,2.910294508561492,24,33,8,0,D M S,Manchester City,3,0.7440792061388493,22.697251569479704,21.21717146784067,2019/2020
314,Ilkay Gündogan,31,2006,2,4.346704069525003,1,2.919196816161275,32,34,7,0,M S,Manchester City,1,2.8244022112339735,19.26157533749938,15.24622729793191,2019/2020
611,Nicolás Otamendi,24,1705,2,2.0548217091709375,0,0.1775842010974884,15,4,3,0,D S,Manchester City,2,2.0548217091709375,10.63933565095067,10.601855654269457,2019/2020
638,Kyle Walker,29,2407,1,1.3122373102232814,4,1.9309353735297918,14,19,5,0,D S,Manchester City,1,1.3122373102232814,17.875285930931568,16.14107497781515,2019/2020
2498,Aymeric Laporte,15,1112,1,0.7192277908325195,0,0.17903700098395348,4,3,1,0,D S,Manchester City,1,0.7192277908325195,7.432041570544243,7.252393588423729,2019/2020
337,Leroy Sané,1,6,0,0.0981592983007431,0,0,2,0,0,0,S,Manchester City,0,0.0981592983007431,0.17216899991035461,0.12103500217199326,2019/2020
586,John Stones,16,1114,0,0.5476329140365124,0,0.06062990054488182,6,2,0,0,D S,Manchester City,0,0.5476329140365124,6.485635861754417,6.46672286093235,2019/2020
614,Fernandinho,30,2401,0,0.7617601957172155,1,0.4479130953550339,16,8,7,2,D M S,Manchester City,0,0.7617601957172155,16.46185427904129,16.192967295646667,2019/2020
1040,Angelino,6,417,0,0.2092329002916813,0,1.9232037886977196,5,9,1,0,D S,Manchester City,0,0.2092329002916813,2.7633529901504517,2.369253024458885,2019/2020
1731,Claudio Bravo,4,347,0,0,0,0,0,0,0,0,GK S,Manchester City,0,0,0.7041245102882385,0.7041245102882385,2019/2020
2379,João Cancelo,17,1198,0,0.5605656001716852,0,2.9995753997936845,15,17,4,0,D S,Manchester City,0,0.5605656001716852,14.226686300709844,11.60988806374371,2019/2020
2958,Oleksandr Zinchenko,19,1265,0,0.4770019007846713,0,2.0930051282048225,16,20,0,1,D S,Manchester City,0,0.4770019007846713,10.344594731926918,9.809204554185271,2019/2020
3389,Benjamin Mendy,19,1508,0,0.3174634035676718,3,1.6260080877691507,10,21,3,0,D S,Manchester City,0,0.3174634035676718,10.95017634704709,10.008164498955011,2019/2020
6054,Ederson,35,3071,0,0,0,0.07479359954595566,0,1,3,1,GK,Manchester City,0,0,8.338198896497488,8.26340490207076,2019/2020
8045,Eric Garcia,13,780,0,0.6039479970932007,0,0.22260919585824013,2,2,1,0,D S,Manchester City,0,0.6039479970932007,4.964903242886066,4.964903242886066,2019/2020
8496,Tommy Doyle,1,13,0,0.07760050147771835,0,0,1,0,0,0,S,Manchester City,0,0.07760050147771835,0.07760050147771835,0,2019/2020
314,Ilkay Gündogan,28,2033,13,9.566889390349388,2,3.8162214383482933,54,42,1,0,M S,Manchester City,12,8.044548198580742,19.286807842552662,10.148369457572699,2020/2021
618,Raheem Sterling,31,2539,10,12.050680804997683,7,6.628709137439728,70,39,4,0,F M S,Manchester City,10,11.28951171785593,25.88370618596673,12.173164084553719,2020/2021
750,Riyad Mahrez,27,1961,9,6.232445145025849,6,6.086521776393056,58,45,0,0,F M S,Manchester City,9,6.232445145025849,18.846322424709797,9.170802794396877,2020/2021
5543,Gabriel Jesus,29,2053,9,9.653350956737995,4,3.549695127643645,55,31,2,0,F M S,Manchester City,9,9.653350956737995,17.878482265397906,6.2336467280983925,2020/2021
6055,Phil Foden,28,1606,9,6.083392720669508,5,4.749280586838722,45,36,0,0,F M S,Manchester City,9,6.083392720669508,13.835046902298927,5.486509682610631,2020/2021
6441,Ferrán Torres,24,1305,7,5.728712034411728,2,2.2024257499724627,36,18,1,0,F M S,Manchester City,7,5.728712034411728,10.003002636134624,2.9583604130893946,2020/2021
447,Kevin De Bruyne,25,2008,6,9.983444157987833,12,10.958204975351691,81,79,1,0,M S,Manchester City,4,7.699938114732504,22.516895599663258,11.297135788947344,2020/2021
586,John Stones,22,1933,4,2.501299239695072,0,0.046839602291584015,15,2,0,1,D,Manchester City,4,2.501299239695072,10.388180335983634,10.288510343059897,2020/2021
619,Sergio Agüero,12,556,4,3.716518983244896,1,1.315659997984767,19,7,0,0,F M S,Manchester City,3,2.1941805984824896,4.1585718132555485,1.2831721864640713,2020/2021
2379,João Cancelo,28,2309,2,1.8656361103057861,3,5.177639778703451,35,45,5,1,D M S,Manchester City,2,1.8656361103057861,18.10572186857462,14.480543030425906,2020/2021
2496,Rodri,34,2751,2,2.659903080202639,2,2.3353829346597195,32,33,6,0,M S,Manchester City,1,1.8987347027286887,20.857336901128292,18.96581632643938,2020/2021
3389,Benjamin Mendy,13,955,2,0.33414069935679436,1,0.3014400042593479,6,5,2,0,D M S,Manchester City,2,0.33414069935679436,2.7691371738910675,2.3486030250787735,2020/2021
3635,Bernardo Silva,26,2080,2,3.598813336342573,6,4.82339084893465,28,27,5,0,F M S,Manchester City,2,3.598813336342573,17.112391721457243,10.653524532914162,2020/2021
579,Nathan Aké,10,802,1,0.5053185075521469,0,0.017229299992322922,3,1,4,0,D S,Manchester City,1,0.5053185075521469,4.211260549724102,4.194031249731779,2020/2021
638,Kyle Walker,24,1944,1,0.20440489519387484,1,0.4997862037271261,10,8,1,0,D S,Manchester City,1,0.20440489519387484,10.604215674102306,10.206439010798931,2020/2021
8961,Rúben Dias,32,2848,1,1.9530212916433811,0,0.10559620335698128,14,3,4,0,D,Manchester City,1,1.9530212916433811,16.681801982223988,16.56010902673006,2020/2021
614,Fernandinho,21,1170,0,0.8150820014998317,2,1.5401166006922722,14,14,6,0,M S,Manchester City,0,0.8150820014998317,8.776915058493614,7.831784226000309,2020/2021
2498,Aymeric Laporte,16,1335,0,0.8423398248851299,0,0.5778952986001968,6,5,1,0,D S,Manchester City,0,0.8423398248851299,6.2438118904829025,6.2438118904829025,2020/2021
